SG_PARTIDO,NM_PARTIDO,DS_CARGO,SG_UF,txGenFeminino,totalGenFeminino,txCorRacaPreta,totalCorRacaPreta,txCorRacaPretaParda,totalCorRacaPretaParda,txCorRacaNaoBranca,totalCorRacaNaoBranca,totalBens,avgBens,avgBensNotZero,txEstadoCivilCasado,txEstadoCivilSolteiro,txEstadoCivilSeparadoDivorciado,avgIdade,totalCandidaturas
REPUBLICANOS,REPUBLICANOS,GERAL,SE,0.382456140350877,109,0.16140350877193,46,0.83859649122807,239,0.845614035087719,241,28224023.38,99031.6609824561,185684.364342105,0.403508771929825,0.501754385964912,0.0,43.5298245614035,285
REPUBLICANOS,REPUBLICANOS,GERAL,SP,0.328849028400598,2200,0.0880418535127055,589,0.32152466367713,2151,0.332436472346786,2224,1743611934.66,260629.58664574,392175.423900135,0.594618834080717,0.264125560538117,0.00896860986547085,48.1285500747384,6690
REPUBLICANOS,REPUBLICANOS,GERAL,TO,0.338954468802698,402,0.155986509274874,185,0.816188870151771,968,0.836424957841484,992,2700639428.17,2277099.01194772,3024232.28238522,0.526981450252951,0.37858347386172,0.00252951096121417,45.1517706576728,1186
SOLIDARIEDADE,SOLIDARIEDADE,GERAL,AC,0.336,42,0.168,21,0.864,108,0.912,114,18764228.24,150113.82592,253570.651891892,0.432,0.472,0.0,45.744,125
SOLIDARIEDADE,SOLIDARIEDADE,GERAL,AL,0.354330708661417,90,0.0708661417322835,18,0.728346456692913,185,0.779527559055118,198,24731908.27,97369.7175984252,271779.211758242,0.535433070866142,0.366141732283465,0.00393700787401575,46.0157480314961,254
SOLIDARIEDADE,SOLIDARIEDADE,GERAL,AM,0.348837209302326,30,0.0232558139534884,2,0.744186046511628,64,0.813953488372093,70,6376733.99,74148.0696511628,227740.499642857,0.5,0.453488372093023,0.0,43.7674418604651,86
SOLIDARIEDADE,SOLIDARIEDADE,GERAL,AP,0.333333333333333,38,0.105263157894737,12,0.87719298245614,100,0.912280701754386,104,12195110,106974.649122807,259470.425531915,0.403508771929825,0.56140350877193,0.0,43.4385964912281,114
SOLIDARIEDADE,SOLIDARIEDADE,GERAL,BA,0.336385836385836,551,0.233821733821734,383,0.840659340659341,1377,0.847374847374847,1388,197587293.67,120627.163412698,207114.563595388,0.412698412698413,0.492673992673993,0.00610500610500611,45.957264957265,1638
SOLIDARIEDADE,SOLIDARIEDADE,GERAL,CE,0.36,63,0.0685714285714286,12,0.777142857142857,136,0.777142857142857,136,20052565.81,114586.090342857,187407.157102804,0.451428571428571,0.434285714285714,0.0,45.2628571428571,175
SOLIDARIEDADE,SOLIDARIEDADE,GERAL,ES,0.353383458646617,47,0.195488721804511,26,0.706766917293233,94,0.714285714285714,95,12964338.84,97476.2318796992,177593.682739726,0.541353383458647,0.285714285714286,0.0,49.2857142857143,133
SOLIDARIEDADE,SOLIDARIEDADE,GERAL,GO,0.35110533159948,270,0.105331599479844,81,0.652795838751626,502,0.678803641092328,522,169494157.75,220408.52763329,314460.403988868,0.500650195058518,0.327698309492848,0.00650195058517555,46.8348504551365,769
SOLIDARIEDADE,SOLIDARIEDADE,GERAL,MA,0.375722543352601,130,0.132947976878613,46,0.88150289017341,305,0.88150289017341,305,54478215.75,157451.490606936,311304.09,0.430635838150289,0.511560693641618,0.00578034682080925,45.4537572254335,346
SOLIDARIEDADE,SOLIDARIEDADE,GERAL,MG,0.33656330749354,1042,0.146640826873385,454,0.558139534883721,1728,0.575581395348837,1782,567235307.11,183215.538472222,274026.717922705,0.513565891472868,0.356266149870801,0.0080749354005168,47.1866925064599,3096
SOLIDARIEDADE,SOLIDARIEDADE,GERAL,MS,0.346774193548387,43,0.0887096774193548,11,0.548387096774194,68,0.564516129032258,70,36487839.02,294256.766290323,513913.225633803,0.435483870967742,0.467741935483871,0.0241935483870968,49.8145161290323,124
SOLIDARIEDADE,SOLIDARIEDADE,GERAL,MT,0.34,34,0.09,9,0.74,74,0.75,75,38856181.59,388561.8159,636986.583442623,0.36,0.46,0.0,45.75,100
SOLIDARIEDADE,SOLIDARIEDADE,GERAL,PA,0.347079037800687,202,0.11340206185567,66,0.838487972508591,488,0.859106529209622,500,69220463.8,118935.504810997,235443.754421769,0.414089347079038,0.518900343642612,0.00343642611683849,44.6563573883162,582
SOLIDARIEDADE,SOLIDARIEDADE,GERAL,PB,0.336043360433604,124,0.111111111111111,41,0.704607046070461,260,0.737127371273713,272,38330511.91,103876.72604336,200683.308429319,0.517615176151762,0.360433604336043,0.002710027100271,45.2926829268293,369
SOLIDARIEDADE,SOLIDARIEDADE,GERAL,PE,0.343339587242026,183,0.127579737335835,68,0.649155722326454,346,0.675422138836773,360,37194161.12,69782.6662664165,199968.608172043,0.454033771106942,0.439024390243902,0.0,46.3508442776735,533
SOLIDARIEDADE,SOLIDARIEDADE,GERAL,PI,0.336569579288026,104,0.116504854368932,36,0.812297734627832,251,0.815533980582524,252,38969088.55,126113.555177994,202964.002864583,0.462783171521036,0.469255663430421,0.0,45.6148867313916,309
